County,confirmed_cases,total_tested,deaths,lat,lon
Illinois,374256,7268952,9505,39.839888,-89.510168
Adams,1862,38542,19,40.0578,-91.1353
Alexander,120,2350,1,37.167,-89.3606
Bond,499,7700,9,38.903,-89.4742
Boone,1860,21756,25,42.3485,-88.8263
Brown,107,2162,0,39.938,-90.7153
Bureau,906,12622,16,41.3599,-89.4742
Calhoun,66,1626,0,39.1733,-90.6583
Carroll,410,6829,11,42.0386,-89.9627
Cass,462,5610,11,39.9399,-90.262
Champaign,6091,755316,29,40.2139,-88.2461
Chicago,95463,1460721,3041,41.789896,-87.627734
Christian,816,14312,29,39.5672,-89.3227
Clark,308,5606,17,39.3824,-87.7763
Clay,311,4513,13,38.7279,-88.5565
Clinton,1755,17486,26,38.5684,-89.6252
Coles,1912,27794,39,39.556,-88.2461
Cook,80123,1270723,2380,42.050784,-87.963759
Crawford,647,5877,6,39.05,-87.7763
Cumberland,288,4627,6,39.2654,-88.2072
De Witt,260,5834,6,40.181,-88.9031
DeKalb,2358,44431,42,41.833,-88.7109
Douglas,672,11031,9,39.7618,-88.2072
DuPage,22783,419533,606,41.8244,-88.0901
Edgar,155,4642,10,39.7131,-87.7763
Edwards,108,1125,0,38.4268,-88.051
Effingham,1165,14762,4,39.0622,-88.5565
Fayette,680,8199,24,39.067,-89.0179
Ford,196,6879,14,40.4989,-88.2072
Franklin,982,16107,9,38.0157,-88.9031
Fulton,518,15188,1,40.5532,-90.2245
Gallatin,107,1088,2,37.7108,-88.2461
Greene,290,4737,15,39.403,-90.3748
Grundy,965,14045,7,41.3501,-88.4016
Hamilton,120,2013,2,38.0543,-88.5565
Hancock,309,6987,4,40.3849,-91.1353
Hardin,53,1342,0,37.4995,-88.3628
Henderson,128,1883,0,40.8336,-90.9438
Henry,846,20732,7,41.3611,-90.0747
Iroquois,492,14003,19,40.774,-87.6976
Jackson,1542,22926,26,37.7218,-89.3227
Jasper,264,3443,10,39.0555,-88.0901
Jefferson,905,12865,48,38.2267,-88.8647
Jersey,473,7793,21,39.0705,-90.3748
Jo Daviess,498,7365,7,42.3149,-90.2245
Johnson,355,3880,0,37.4204,-88.9031
Kane,16621,222374,347,41.9879,-88.4016
Kankakee,3388,64994,80,41.1791,-87.7763
Kendall,2670,43689,30,41.5507,-88.4404
Knox,1299,23808,16,40.8776,-90.2245
Lake,20630,319032,510,42.3689,-87.8272
LaSalle,2408,39566,63,41.4364,-88.9414
Lawrence,333,6602,8,38.7158,-87.7763
Lee,710,10653,2,41.679,-89.3227
Livingston,632,17423,10,40.8689,-88.5565
Logan,590,18343,4,40.0613,-89.3227
Macon,3055,52726,52,39.8949,-89.0179
Macoupin,807,22308,11,39.2375,-89.9253
Madison,7151,98208,154,38.9041,-89.9253
Marion,1012,18636,19,38.7313,-88.8647
Marshall,156,5653,3,40.9973,-89.3606
Mason,305,6159,1,40.2271,-89.9253
Massac,154,3374,2,37.2478,-88.7494
McDonough,764,12678,20,40.3885,-90.6773
McHenry,6310,99529,121,42.304,-88.4016
McLean,4150,97930,34,40.5478,-88.8647
Menard,185,5945,1,40.0221,-89.813
Mercer,262,6314,6,41.1985,-90.6773
Monroe,920,11132,30,38.2743,-90.187
Montgomery,610,17281,16,39.2364,-89.4742
Morgan,896,16116,24,39.7341,-90.2245
Moultrie,411,7012,4,39.6021,-88.5952
Ogle,1189,19650,7,41.997,-89.3227
Out Of State,17,53628,0,0.0,0.0
Peoria,4544,109147,70,40.7156,-89.7755
Perry,438,7599,16,38.0612,-89.3227
Piatt,250,10647,0,40.0544,-88.85565
Pike,353,5315,6,39.5662,-90.8294
Pope,42,787,1,37.4171,-88.5952
Pulaski,235,2008,1,37.2512,-89.1325
Putnam,92,1562,0,41.2385,-89.2847
Randolph,1271,15703,15,38.0629,-89.7755
Richland,334,7889,16,38.7213,-88.0901
Rock Island,4005,73141,90,41.5095,-90.5787
Saline,559,8267,9,37.715,-88.5565
Sangamon,3988,131583,63,39.7337,-89.6252
Schuyler,90,2291,1,40.1845,-90.6394
Scott,106,2744,0,39.6095,-90.488
Shelby,669,8582,12,39.3981,-88.8647
St. Clair,7920,105217,220,38.4008,-89.9253
Stark,86,2686,3,41.0796,-89.813
Stephenson,981,16768,7,42.3145,-89.6252
Tazewell,2645,74083,56,40.5522,-89.4742
Unassigned,54,63011,0,39.839888,-89.510168
Union,780,8639,25,37.5087,-89.2847
Vermilion,1718,36715,10,40.1225,-87.6976
Wabash,226,2984,5,38.4226,-87.8157
Warren,496,5446,8,40.8759,-90.6773
Washington,307,4053,2,38.3989,-89.3227
Wayne,482,5619,12,38.39,-88.4016
White,269,7252,4,38.0501,-88.2461
Whiteside,1400,20122,27,41.7606,-89.8505
Will,18356,275472,427,41.5055,-88.0901
Williamson,1883,31868,59,37.7183,-88.8647
Winnebago,10183,133444,180,42.3121,-89.1706
Woodford,618,16973,14,40.7129,-89.1706
